time,ranking,name,heat,marketPrice,legalPrice,amountIncrease
2019-06-06 15:05:51.164787,1,TRX波场,,¥157.78亿,¥0.236632,+0.94%
2019-06-06 15:05:51.166289,2,GXC公信宝,,¥6.13亿,¥10.2218,+1.78%
2019-06-06 15:05:51.169291,3,BIKIBiki.com,,¥1.97亿,¥0.460587,-3.5%
2019-06-06 15:05:51.169291,4,MXMX Token,,¥2.37亿,¥0.790258,+2.08%
2019-06-06 15:05:51.170292,5,BNBBinance Coin,,¥306.49亿,¥217.17,+1.61%
2019-06-06 15:05:51.170292,6,MXMMaximine Coin,,¥5.76亿,¥0.349252,-4.71%
2019-06-06 15:05:51.171793,7,ETH以太坊,,"¥1,815.27亿","¥1,706.52",-0.09%
2019-06-06 15:05:51.172294,8,BTM比原链,,¥9.71亿,¥0.965979,-0.31%
2019-06-06 15:05:51.172794,9,AEAeternity,,¥9.57亿,¥3.5697,+0.21%
2019-06-06 15:05:51.172794,10,UUUU Network,,"¥6,538.25万",¥0.009685,+11.32%
2019-06-06 15:05:51.173294,11,LINKChainLink,,¥26.23亿,¥7.4952,-1.22%
2019-06-06 15:05:51.173794,12,GETGlobal Escrow Token,,-,¥0.22173,-1.29%
2019-06-06 15:05:51.174294,13,BKK币客币,,¥1.77亿,¥1.6536,+0.71%
2019-06-06 15:05:51.174795,14,EGTEgretia,,¥2.09亿,¥0.051172,-2.06%
2019-06-06 15:05:51.176796,15,MTMyToken,,"¥2,618.65万",¥0.020029,+2.3%
2019-06-06 15:05:51.177800,16,NEW牛顿,,¥3.15亿,¥0.026354,+4.8%
2019-06-06 15:05:51.178298,17,ZILZilliqa,,¥10亿,¥0.151207,+2.67%
2019-06-06 15:05:51.179298,18,IOSTIOStoken,,¥9.33亿,¥0.077694,+0.7%
2019-06-06 15:05:51.179298,19,BIXBIX Token,,¥2.34亿,¥1.7996,+0.13%
2019-06-06 15:05:51.179799,20,SOPSoPay,,"¥1,979.94万",¥0.040739,-0.24%
2019-06-06 15:05:51.180299,21,BCHSVbitcoinSV,,¥258.61亿,"¥1,479.95",-1.13%
2019-06-06 15:05:51.181800,22,ADC智能链,,"¥9,784.6万",¥1.6308,+2.36%
2019-06-06 15:05:51.182302,23,LAMBLambda,,¥4.03亿,¥0.492867,-1.42%
2019-06-06 15:05:51.192807,24,ABT区块基石,,¥2.75亿,¥2.7926,+8.12%
2019-06-06 15:05:51.194309,25,ONT本体,,¥53.65亿,¥8.9784,-0.08%
2019-06-06 15:05:51.196310,26,ELFaelf,,¥3.83亿,¥1.277,+0.86%
2019-06-06 15:05:51.200313,27,ETP熵,,¥5.7亿,¥7.9664,-0.94%
2019-06-06 15:05:51.204816,28,PAIObEN,,¥4.56亿,¥0.314475,+1.07%
2019-06-06 15:05:51.205816,29,RHOCRChain,,¥1.46亿,¥0.389966,+1.08%
2019-06-06 15:05:51.209819,30,FSNFusion,,¥2.42亿,¥7.3816,-0.31%
